Sl. No.,State,Accidents _Cases,Accidents_Injured,Accidents _Died,Railway Accidents - Cases,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Died
1,Andhra Pradesh,21070,21340,8293,1029,1037,0,0,22099,9330
2,Arunachal Pradesh,215,177,152,0,0,0,0,215,152
3,Assam,7028,5679,3060,689,693,22,22,7739,3775
4,Bihar,10801,7068,8898,1444,1446,52,53,12297,10397
5,Chhattisgarh,13091,11459,5890,429,429,4,4,13524,6323
6,Goa,3012,1071,274,54,54,0,0,3066,328
7,Gujarat,15777,15139,7634,766,777,6,6,16549,8417
8,Haryana,10654,8353,5228,1127,1101,95,95,11876,6424
9,Himachal Pradesh,2484,3891,979,0,0,0,0,2484,979
10,Jharkhand,5175,3747,3898,362,346,7,7,5544,4251
11,Karnataka,39765,48154,11705,0,0,0,0,39765,11705
12,Kerala,43592,49317,4317,194,194,184,185,43970,4696
13,Madhya Pradesh,51965,51264,13918,1275,1275,239,239,53479,15432
14,Maharashtra,30546,23878,15748,4827,3145,0,0,35373,18893
15,Manipur,508,817,127,2,2,0,0,510,129
16,Meghalaya,246,310,162,0,0,0,0,246,162
17,Mizoram,71,28,83,0,0,0,0,71,83
18,Nagaland,24,42,22,0,0,5,5,29,27
19,Odisha,11663,10269,5470,27,27,54,0,11744,5497
20,Punjab,6122,3372,4688,978,914,0,0,7100,5602
21,Rajasthan,23620,22249,11103,942,943,0,0,24562,12046
22,Sikkim,199,371,98,0,0,0,0,199,98
23,Tamil Nadu,64105,67703,17884,2012,1833,0,0,66117,19717
24,Telangana,21619,20209,7559,616,625,0,0,22235,8184
25,Tripura,575,541,241,27,27,2,2,604,270
26,Uttar Pradesh,36875,21696,24109,3190,3166,1340,1340,41405,28615
27,Uttarakhand,1674,1613,1042,74,74,1,1,1749,1117
28,West Bengal,10635,8124,5788,2221,1935,546,493,13402,8216
Total (States),Total (States),433111,407881,168370,22285,20043,2557,2452,457953,190865
29,Andaman and Nicobar Islands,141,136,19,0,0,0,0,141,19
30,Chandigarh,238,203,83,0,0,0,0,238,83
31,Dadra and Nicoabr Haveli and Daman and Diu,175,257,80,0,0,0,0,175,80
32,Delhi,5560,4713,1461,796,691,0,0,6356,2152
33,Jammu and Kashmir,6090,8350,838,49,49,3,3,6142,890
34,Ladakh,268,333,66,0,0,0,0,268,66
35,Lakshadweep,4,3,2,0,0,0,0,4,2
36,Puducherry,1181,1282,181,9,9,0,0,1190,190
Total (UTs),Total (UTs),13657,15277,2730,854,749,3,3,14514,3482
Total (All India),Total (All India),446768,423158,171100,23139,20792,2560,2455,472467,194347
37,Agra,729,91,698,66,47,11,11,806,756
38,Ahmedabad,1711,1305,488,40,41,0,0,1751,529
39,Amritsar,117,62,82,0,0,0,0,117,82
40,Asansol,497,308,365,7,7,0,0,504,372
41,Aurangabad,491,352,204,14,14,0,0,505,218
42,Bengaluru,3822,3189,772,0,0,0,0,3822,772
43,Bhopal,2788,2151,205,62,62,5,5,2855,272
44,Chandigarh (city),238,203,83,0,0,0,0,238,83
45,Chennai,3452,3724,507,0,0,0,0,3452,507
46,Coimbatore,1085,939,272,0,0,0,0,1085,272
47,Delhi (city),5387,4572,1412,796,691,0,0,6183,2103
48,Dhanbad,179,73,114,0,0,0,0,179,114
49,Durg Bhilainagar,789,601,145,30,30,0,0,819,175
50,Faridabad,629,448,302,0,0,0,0,629,302
51,Ghaziabad,883,661,362,48,48,0,0,931,410
52,Gwalior,1219,1096,151,0,0,13,13,1232,164
53,Hyderabad,2516,2252,323,0,0,0,0,2516,323
54,Indore,3317,2731,282,17,17,0,0,3334,299
55,Jabalpur,2460,2439,167,0,0,0,0,2460,167
56,Jaipur,2687,2162,765,153,153,0,0,2840,918
57,Jamshedpur,167,115,68,0,0,0,0,167,68
58,Jodhpur,686,505,267,14,14,0,0,700,281
59,Kannur,1635,2118,149,21,21,0,0,1656,170
60,Kanpur,1595,955,640,0,0,155,155,1750,795
61,Kochi,2432,2362,156,0,0,22,22,2454,178
62,Kolkata,1037,816,217,0,0,0,0,1037,217
63,Kollam,2083,2176,214,11,11,0,0,2094,225
64,Kota,444,431,111,29,29,0,0,473,140
65,Kozhikode,2054,2163,195,7,7,13,13,2074,215
66,Lucknow,1408,994,643,34,34,8,8,1450,685
67,Ludhiana,467,174,364,0,0,0,0,467,364
68,Madurai,744,601,192,0,0,0,0,744,192
69,Malappuram,870,1098,116,3,3,0,0,873,119
70,Meerut,451,443,149,0,0,26,26,477,175
71,Mumbai,538,4,538,0,0,0,0,538,538
72,Nagpur,1181,987,335,54,55,0,0,1235,390
73,Nasik,190,49,201,24,24,0,0,214,225
74,Patna,275,121,198,0,0,0,0,275,198
75,Prayagraj +,1370,886,603,0,0,0,0,1370,603
76,Pune,387,107,343,17,17,0,0,404,360
77,Raipur,1021,575,186,33,33,0,0,1054,219
78,Rajkot,498,422,150,13,13,0,0,511,163
79,Ranchi,175,111,90,0,0,0,0,175,90
80,Srinagar,426,438,53,0,0,0,0,426,53
81,Surat,683,553,293,36,37,0,0,719,330
82,Thiruvananthapuram,1825,1910,171,0,0,18,18,1843,189
83,Thrissur,2374,2711,210,0,0,0,0,2374,210
84,Tiruchirappalli,542,624,149,0,0,0,0,542,149
85,Vadodara,478,378,181,5,5,0,0,483,186
86,Varanasi,133,86,145,29,29,0,0,162,174
87,Vasai Virar,342,213,165,0,0,0,0,342,165
88,Vijayawada,1543,1367,418,0,0,0,0,1543,418
89,Vishakhapatnam,1352,1288,358,0,0,0,0,1352,358
Total (Cities),Total (Cities),66402,57140,15967,1563,1442,271,271,68236,17680
